河南电信,#genre#
河南新闻,http://171.8.169.124:8800/udp/239.16.20.168:11680?$henan
河南梨园,http://171.8.169.124:8800/udp/239.16.20.171:11710?$henan
河南武术世界,http://171.8.169.124:8800/udp/239.16.20.173:11730?$henan
河南民生,http://171.8.169.124:8800/udp/239.16.10.121:2000?$henan
河南民生,http://171.8.169.124:8800/udp/239.16.20.165:11650?$henan
河南法治,http://171.8.169.124:8800/udp/239.16.10.122:2000?$henan
河南法治,http://171.8.169.124:8800/udp/239.16.20.166:11660?$henan
河南睛彩中原,http://171.8.169.124:8800/udp/239.16.10.78:2000?$henan
河南睛彩中原,http://171.8.169.124:8800/udp/239.16.20.122:11220?$henan
河南移动戏曲,http://171.8.169.124:8800/udp/239.16.10.76:2000?$henan
河南移动戏曲,http://171.8.169.124:8800/udp/239.16.20.120:11200?$henan
河南移动电视,http://171.8.169.124:8800/udp/239.16.10.79:2000?$henan
河南移动电视,http://171.8.169.124:8800/udp/239.16.20.204:12040?$henan
河南都市,http://171.8.169.124:8800/udp/239.16.10.120:2000?$henan
河南都市,http://171.8.169.124:8800/udp/239.16.20.164:11640?$henan
河南功夫,http://171.8.169.124:8800/udp/239.16.10.150:2000?$henan
河南影视,http://171.8.169.124:8800/udp/239.16.10.123:2000?$henan
河南影视,http://171.8.169.124:8800/udp/239.16.20.167:11670?$henan
河南调解剧场,http://171.8.169.124:8800/udp/239.16.20.197:11970?$henan
湖南金鹰纪实,http://171.8.169.124:8800/udp/239.16.20.153:11530?$henan
郑州影视戏曲,http://171.8.169.124:8800/udp/239.16.10.157:2000?$henan
郑州新闻综合,http://171.8.169.124:8800/udp/239.16.10.154:2000?$henan
郑州商都,http://171.8.169.124:8800/udp/239.16.10.155:2000?$henan
郑州文体,http://171.8.169.124:8800/udp/239.16.10.156:2000?$henan
郑州妇女儿童,http://171.8.169.124:8800/udp/239.16.10.158:2000?$henan
郑州都市生活,http://171.8.169.124:8800/udp/239.16.10.159:2000?$henan
县市频道,#genre#
大剧院,http://171.8.169.124:8800/udp/239.16.20.217:12170?$henan
义马电视台,http://171.8.169.124:8800/udp/239.16.20.109:11090?$henan
义马电视台,http://171.8.169.124:8800/udp/239.16.20.236:12360?$henan
内黄综合,http://171.8.169.124:8800/udp/239.16.20.228:12280?$henan
卫辉电视台,http://171.8.169.124:8800/udp/239.16.20.191:11910?$henan
叶县电视台,http://171.8.169.124:8800/udp/239.16.20.136:11360?$henan
叶县电视台,http://171.8.169.124:8800/udp/239.16.20.32:10320?$henan
周口新闻综合,http://171.8.169.124:8800/udp/239.16.10.59:2000?$henan
大美河南,http://171.8.169.124:8800/udp/239.16.20.243:12430?$henan
宝丰,http://171.8.169.124:8800/udp/239.16.20.209:12090?$henan
宝丰,http://171.8.169.124:8800/udp/239.16.20.63:10630?$henan
封丘新闻综合,http://171.8.169.124:8800/udp/239.16.20.19:10190?$henan
新密综合,http://171.8.169.124:8800/udp/239.16.10.31:2000?$henan
新密综合,http://171.8.169.124:8800/udp/239.16.20.41:10410?$henan
新郑,http://171.8.169.124:8800/udp/239.16.10.35:2000?$henan
新郑,http://171.8.169.124:8800/udp/239.16.20.45:10450?$henan
杞县新闻综合,http://171.8.169.124:8800/udp/239.16.10.80:2000?$henan
永城新闻联播,http://171.8.169.124:8800/udp/239.16.10.93:2000?$henan
汝阳综合,http://171.8.169.124:8800/udp/239.16.20.207:12070?$henan
洛阳新闻综合,http://171.8.169.124:8800/udp/239.16.20.179:11790?$henan
洛阳科教,http://171.8.169.124:8800/udp/239.16.20.177:11770?$henan
洛阳文旅,http://171.8.169.124:8800/udp/239.16.20.178:11780?$henan
淅川电视台,http://171.8.169.124:8800/udp/239.16.10.38:2000?$henan
淅川电视台,http://171.8.169.124:8800/udp/239.16.20.48:10480?$henan
淇县电视台,http://171.8.169.124:8800/udp/239.16.20.205:12050?$henan
渑池新闻综合,http://171.8.169.124:8800/udp/239.16.20.135:11350?$henan
渑池新闻综合,http://171.8.169.124:8800/udp/239.16.20.47:10470?$henan
焦作公共,http://171.8.169.124:8800/udp/239.16.20.155:11550?$henan
焦作综合,http://171.8.169.124:8800/udp/239.16.20.140:11400?$henan
禹州电视台,http://171.8.169.124:8800/udp/239.16.10.39:2000?$henan
镇平新闻综合,http://171.8.169.124:8800/udp/239.16.10.46:2000?$henan
镇平新闻综合,http://171.8.169.124:8800/udp/239.16.20.50:10500?$henan
获嘉综合,http://171.8.169.124:8800/udp/239.16.20.25:10250?$henan
邓州综合,http://171.8.169.124:8800/udp/239.16.20.20:10200?$henan
郏县综合,http://171.8.169.124:8800/udp/239.16.20.235:12350?$henan
三门峡新闻综合,http://171.8.169.124:8800/udp/239.16.20.145:11450?$henan
信阳文旅,http://171.8.169.124:8800/udp/239.16.10.71:2000?$henan
信阳新闻综合,http://171.8.169.124:8800/udp/239.16.10.52:2000?$henan
南阳新闻综合,http://171.8.169.124:8800/udp/239.16.10.58:2000?$henan
南阳公共,http://171.8.169.124:8800/udp/239.16.10.165:2000?$henan
南阳科教,http://171.8.169.124:8800/udp/239.16.10.164:2000?$henan
卢氏综合,http://171.8.169.124:8800/udp/239.16.20.240:12400?$henan
原阳电视台,http://171.8.169.124:8800/udp/239.16.20.208:12080?$henan
孟津综合,http://171.8.169.124:8800/udp/239.16.20.192:11920?$henan
安阳新闻综合,http://171.8.169.124:8800/udp/239.16.20.144:11440?$henan
安阳科教,http://171.8.169.124:8800/udp/239.16.20.193:11930?$henan
巩义综合,http://171.8.169.124:8800/udp/239.16.10.33:2000?$henan
巩义综合,http://171.8.169.124:8800/udp/239.16.20.43:10430?$henan
平顶山教育台,http://171.8.169.124:8800/udp/239.16.20.27:10270?$henan
延津电视台,http://171.8.169.124:8800/udp/239.16.20.210:12100?$henan
开封新闻综合,http://171.8.169.124:8800/udp/239.16.10.57:2000?$henan
开封文化旅游,http://171.8.169.124:8800/udp/239.16.10.177:2000?$henan
新乡公共,http://171.8.169.124:8800/udp/239.16.20.154:11540?$henan
新乡新闻综合,http://171.8.169.124:8800/udp/239.16.20.139:11390?$henan

