
港澳频道,#genre#
CCTV14[5.1环绕声],http://125.37.57.153:8686/rtp/225.1.1.144:5002?$TJ
CCTV16[5.1环绕声],http://125.37.57.153:8686/rtp/225.1.2.237:5002?$TJ
CCTV17[5.1环绕声],http://125.37.57.153:8686/rtp/225.1.2.52:5002?$TJ
CCTV16 4K[5.1环绕],http://49.76.138.232:8800/rtp/239.49.0.109:8000?$JS
CCTV 4K[5.1环绕],http://49.76.138.232:8800/rtp/239.49.0.82:8000?$JS
CCTV16 4K[5.1环绕],http://117.60.236.89:4000/rtp/239.49.0.109:8000?$JS
CCTV 4K[5.1环绕],http://117.60.236.89:4000/rtp/239.49.0.82:8000?$JS
CCTV16 4K[5.1环绕],http://49.83.96.145:8001/rtp/239.49.0.109:8000?$JS
CCTV 4K[5.1环绕],http://49.83.96.145:8001/rtp/239.49.0.82:8000?$JS
CCTV16 4K[5.1环绕],http://49.83.96.116:8001/rtp/239.49.0.109:8000?$JS
CCTV 4K[5.1环绕],http://49.83.96.116:8001/rtp/239.49.0.82:8000?$JS
CCTV16 4K[5.1环绕],http://58.219.143.125:4001/rtp/239.49.0.109:8000?$JS
CCTV 4K[5.1环绕],http://58.219.143.125:4001/rtp/239.49.0.82:8000?$JS
CCTV16 4K[5.1环绕],http://49.83.96.144:8001/rtp/239.49.0.109:8000?$JS
CCTV 4K[5.1环绕],http://49.83.96.144:8001/rtp/239.49.0.82:8000?$JS


高质组播,#genre#
女性时尚,http://171.221.88.178:4000/rtp/239.93.42.62:5140??$SC
世界地理,http://171.221.88.178:4000/rtp/239.93.1.157:5140??$SC
央视文化精品,http://171.221.88.178:4000/rtp/239.93.42.47:5140??$SC
风云足球,http://171.221.88.178:4000/rtp/239.93.0.235:5140??$SC
兵器科技,http://171.221.88.178:4000/rtp/239.93.1.235:5140??$SC
怀旧剧场,http://171.221.88.178:4000/rtp/239.93.1.198:5140??$SC
风云剧场,http://171.221.88.178:4000/rtp/239.93.1.156:5140??$SC
家庭影院,http://171.221.88.178:4000/rtp/239.93.42.6:5140??$SC
影迷电影,http://171.221.88.178:4000/rtp/239.93.42.5:5140??$SC
动作电影,http://171.221.88.178:4000/rtp/239.93.42.7:5140??$SC
女性时尚,http://222.211.162.13:8888/rtp/239.93.42.62:5140??$SC
世界地理,http://222.211.162.13:8888/rtp/239.93.1.157:5140??$SC
央视文化精品,http://222.211.162.13:8888/rtp/239.93.42.47:5140??$SC
风云足球,http://222.211.162.13:8888/rtp/239.93.0.235:5140??$SC
兵器科技,http://222.211.162.13:8888/rtp/239.93.1.235:5140??$SC
怀旧剧场,http://222.211.162.13:8888/rtp/239.93.1.198:5140??$SC
风云剧场,http://222.211.162.13:8888/rtp/239.93.1.156:5140??$SC
家庭影院,http://222.211.162.13:8888/rtp/239.93.42.6:5140??$SC
影迷电影,http://222.211.162.13:8888/rtp/239.93.42.5:5140??$SC
动作电影,http://222.211.162.13:8888/rtp/239.93.42.7:5140??$SC
女性时尚,http://118.114.249.215:8888/rtp/239.93.42.62:5140??$SC
世界地理,http://118.114.249.215:8888/rtp/239.93.1.157:5140??$SC
央视文化精品,http://118.114.249.215:8888/rtp/239.93.42.47:5140??$SC
风云足球,http://118.114.249.215:8888/rtp/239.93.0.235:5140??$SC
兵器科技,http://118.114.249.215:8888/rtp/239.93.1.235:5140??$SC
怀旧剧场,http://118.114.249.215:8888/rtp/239.93.1.198:5140??$SC
风云剧场,http://118.114.249.215:8888/rtp/239.93.1.156:5140??$SC
家庭影院,http://118.114.249.215:8888/rtp/239.93.42.6:5140??$SC
影迷电影,http://118.114.249.215:8888/rtp/239.93.42.5:5140??$SC
动作电影,http://118.114.249.215:8888/rtp/239.93.42.7:5140??$SC
央视文化精品,http://14.221.179.159:8888/rtp/239.253.43.13:5146?$GD
央视文化精品,http://14.221.179.159:8888/rtp/239.253.43.27:5146?$GD
女性时尚,http://14.221.179.159:8888/rtp/239.253.43.23:5146?$GD
女性时尚,http://14.221.179.159:8888/rtp/239.253.43.8:5146?$GD
怀旧剧场,http://14.221.179.159:8888/rtp/239.253.43.25:5146?$GD
怀旧剧场,http://14.221.179.159:8888/rtp/239.253.43.5:5146?$GD
第一剧场,http://14.221.179.159:8888/rtp/239.253.43.15:5146?$GD
第一剧场,http://14.221.179.159:8888/rtp/239.253.43.28:5146?$GD
风云剧场,http://14.221.179.159:8888/rtp/239.253.43.16:5146?$GD
风云剧场,http://14.221.179.159:8888/rtp/239.253.43.26:5146?$GD
风云足球,http://14.221.179.159:8888/rtp/239.253.43.14:5146?$GD
风云音乐,http://14.221.179.159:8888/rtp/239.253.43.29:5146?$GD
风云音乐,http://14.221.179.159:8888/rtp/239.253.43.6:5146?$GD
央视文化精品,http://113.101.160.21:8888/rtp/239.253.43.13:5146?$GD
央视文化精品,http://113.101.160.21:8888/rtp/239.253.43.27:5146?$GD
女性时尚,http://113.101.160.21:8888/rtp/239.253.43.23:5146?$GD
女性时尚,http://113.101.160.21:8888/rtp/239.253.43.8:5146?$GD
怀旧剧场,http://113.101.160.21:8888/rtp/239.253.43.25:5146?$GD
怀旧剧场,http://113.101.160.21:8888/rtp/239.253.43.5:5146?$GD
第一剧场,http://113.101.160.21:8888/rtp/239.253.43.15:5146?$GD
第一剧场,http://113.101.160.21:8888/rtp/239.253.43.28:5146?$GD
风云剧场,http://113.101.160.21:8888/rtp/239.253.43.16:5146?$GD
风云剧场,http://113.101.160.21:8888/rtp/239.253.43.26:5146?$GD
风云足球,http://113.101.160.21:8888/rtp/239.253.43.14:5146?$GD
风云音乐,http://113.101.160.21:8888/rtp/239.253.43.29:5146?$GD
风云音乐,http://113.101.160.21:8888/rtp/239.253.43.6:5146?$GD
兵器科技,http://221.196.68.105:8888/rtp/225.1.2.166:5002?$TJ
世界地理,http://221.196.68.105:8888/rtp/225.1.2.171:5002?$TJ
女性时尚,http://221.196.68.105:8888/rtp/225.1.2.172:5002?$TJ
风云足球,http://221.196.68.105:8888/rtp/225.1.2.168:5002?$TJ
风云音乐,http://221.196.68.105:8888/rtp/225.1.2.176:5002?$TJ
动作电影,http://221.196.68.105:8888/rtp/225.1.1.215:5002?$TJ
家庭影院,http://221.196.68.105:8888/rtp/225.1.1.213:5002?$TJ
影迷电影,http://221.196.68.105:8888/rtp/225.1.1.214:5002?$TJ
第一剧场,http://221.196.68.105:8888/rtp/225.1.2.175:5002?$TJ
风云剧场,http://221.196.68.105:8888/rtp/225.1.2.174:5002?$TJ
怀旧剧场,http://221.196.68.105:8888/rtp/225.1.2.173:5002?$TJ
兵器科技,http://111.167.224.132:8888/rtp/225.1.2.166:5002?$TJ
世界地理,http://111.167.224.132:8888/rtp/225.1.2.171:5002?$TJ
女性时尚,http://111.167.224.132:8888/rtp/225.1.2.172:5002?$TJ
风云足球,http://111.167.224.132:8888/rtp/225.1.2.168:5002?$TJ
风云音乐,http://111.167.224.132:8888/rtp/225.1.2.176:5002?$TJ
动作电影,http://111.167.224.132:8888/rtp/225.1.1.215:5002?$TJ
家庭影院,http://111.167.224.132:8888/rtp/225.1.1.213:5002?$TJ
影迷电影,http://111.167.224.132:8888/rtp/225.1.1.214:5002?$TJ
第一剧场,http://111.167.224.132:8888/rtp/225.1.2.175:5002?$TJ
风云剧场,http://111.167.224.132:8888/rtp/225.1.2.174:5002?$TJ
怀旧剧场,http://111.167.224.132:8888/rtp/225.1.2.173:5002?$TJ
兵器科技,http://218.67.186.230:8888/rtp/225.1.2.166:5002?$TJ
世界地理,http://218.67.186.230:8888/rtp/225.1.2.171:5002?$TJ
女性时尚,http://218.67.186.230:8888/rtp/225.1.2.172:5002?$TJ
风云足球,http://218.67.186.230:8888/rtp/225.1.2.168:5002?$TJ
风云音乐,http://218.67.186.230:8888/rtp/225.1.2.176:5002?$TJ
动作电影,http://218.67.186.230:8888/rtp/225.1.1.215:5002?$TJ
家庭影院,http://218.67.186.230:8888/rtp/225.1.1.213:5002?$TJ
影迷电影,http://218.67.186.230:8888/rtp/225.1.1.214:5002?$TJ
第一剧场,http://218.67.186.230:8888/rtp/225.1.2.175:5002?$TJ
风云剧场,http://218.67.186.230:8888/rtp/225.1.2.174:5002?$TJ
怀旧剧场,http://218.67.186.230:8888/rtp/225.1.2.173:5002?$TJ
兵器科技,http://60.27.173.32:50000/rtp/225.1.2.166:5002?$TJ
世界地理,http://60.27.173.32:50000/rtp/225.1.2.171:5002?$TJ
女性时尚,http://60.27.173.32:50000/rtp/225.1.2.172:5002?$TJ
风云足球,http://60.27.173.32:50000/rtp/225.1.2.168:5002?$TJ
风云音乐,http://60.27.173.32:50000/rtp/225.1.2.176:5002?$TJ
动作电影,http://60.27.173.32:50000/rtp/225.1.1.215:5002?$TJ
家庭影院,http://60.27.173.32:50000/rtp/225.1.1.213:5002?$TJ
影迷电影,http://60.27.173.32:50000/rtp/225.1.1.214:5002?$TJ
第一剧场,http://60.27.173.32:50000/rtp/225.1.2.175:5002?$TJ
风云剧场,http://60.27.173.32:50000/rtp/225.1.2.174:5002?$TJ
怀旧剧场,http://60.27.173.32:50000/rtp/225.1.2.173:5002?$TJ
兵器科技,http://125.37.57.153:8686/rtp/225.1.2.166:5002?$TJ
世界地理,http://125.37.57.153:8686/rtp/225.1.2.171:5002?$TJ
女性时尚,http://125.37.57.153:8686/rtp/225.1.2.172:5002?$TJ
风云足球,http://125.37.57.153:8686/rtp/225.1.2.168:5002?$TJ
风云音乐,http://125.37.57.153:8686/rtp/225.1.2.176:5002?$TJ
动作电影,http://125.37.57.153:8686/rtp/225.1.1.215:5002?$TJ
家庭影院,http://125.37.57.153:8686/rtp/225.1.1.213:5002?$TJ
影迷电影,http://125.37.57.153:8686/rtp/225.1.1.214:5002?$TJ
第一剧场,http://125.37.57.153:8686/rtp/225.1.2.175:5002?$TJ
风云剧场,http://125.37.57.153:8686/rtp/225.1.2.174:5002?$TJ
怀旧剧场,http://125.37.57.153:8686/rtp/225.1.2.173:5002?$TJ
第一剧场,http://49.76.138.232:8800/rtp/239.49.8.94:8000?$JS
风云剧场,http://49.76.138.232:8800/rtp/239.49.8.89:8000?$JS
风云音乐,http://49.76.138.232:8800/rtp/239.49.8.92:8000?$JS
第一剧场,http://117.60.236.89:4000/rtp/239.49.8.94:8000?$JS
风云剧场,http://117.60.236.89:4000/rtp/239.49.8.89:8000?$JS
风云音乐,http://117.60.236.89:4000/rtp/239.49.8.92:8000?$JS
第一剧场,http://49.83.96.145:8001/rtp/239.49.8.94:8000?$JS
风云剧场,http://49.83.96.145:8001/rtp/239.49.8.89:8000?$JS
风云音乐,http://49.83.96.145:8001/rtp/239.49.8.92:8000?$JS
第一剧场,http://49.83.96.116:8001/rtp/239.49.8.94:8000?$JS
风云剧场,http://49.83.96.116:8001/rtp/239.49.8.89:8000?$JS
风云音乐,http://49.83.96.116:8001/rtp/239.49.8.92:8000?$JS
第一剧场,http://58.219.143.125:4001/rtp/239.49.8.94:8000?$JS
风云剧场,http://58.219.143.125:4001/rtp/239.49.8.89:8000?$JS
风云音乐,http://58.219.143.125:4001/rtp/239.49.8.92:8000?$JS
第一剧场,http://49.83.96.144:8001/rtp/239.49.8.94:8000?$JS
风云剧场,http://49.83.96.144:8001/rtp/239.49.8.89:8000?$JS
风云音乐,http://49.83.96.144:8001/rtp/239.49.8.92:8000?$JS
第一剧场,http://27.16.234.19:4022/rtp/239.69.1.74:10084?$HUBEI
兵器科技,http://27.16.234.19:4022/rtp/239.69.1.79:10114?$HUBEI
世界地理,http://27.16.234.19:4022/rtp/239.69.1.91:10186?$HUBEI
影迷电影,http://27.16.234.19:4022/rtp/239.69.1.241:11088?$HUBEI
动作电影,http://27.16.234.19:4022/rtp/239.69.1.242:11094?$HUBEI
家庭影院,http://27.16.234.19:4022/rtp/239.69.1.243:11100?$HUBEI
第一剧场,http://27.21.147.70:4022/rtp/239.69.1.74:10084?$HUBEI
兵器科技,http://27.21.147.70:4022/rtp/239.69.1.79:10114?$HUBEI
世界地理,http://27.21.147.70:4022/rtp/239.69.1.91:10186?$HUBEI
影迷电影,http://27.21.147.70:4022/rtp/239.69.1.241:11088?$HUBEI
动作电影,http://27.21.147.70:4022/rtp/239.69.1.242:11094?$HUBEI
家庭影院,http://27.21.147.70:4022/rtp/239.69.1.243:11100?$HUBEI
风云剧场,http://106.119.250.95:8888/rtp/239.254.201.219:7257?$HEBEI
第一剧场,http://106.119.250.95:8888/rtp/239.254.201.218:7258?$HEBEI
怀旧剧场,http://106.119.250.95:8888/rtp/239.254.201.220:7256?$HEBEI
